fonte;arquivo;tabela_ou_aba;qtd_colunas;colunas
zip_csv;arquivos/Bases antigas/Base de dados - Passos Mágicos.zip;Base de dados - Passos Mágicos/TbDiario/Originais anonimizados/TbDiarioAula.csv;14;IdDiarioAula | IdDiario | NumeroAula | DataAula | ConteudoMinistrado | Tarefa | IdProfessor | StChamadaOnlineAtivada | DataHoraLimiteChamadaOnline | NumeroAulaMigracao |  |  |  | 
zip_csv;arquivos/Bases antigas/Base de dados - Passos Mágicos.zip;Base de dados - Passos Mágicos/TbDiario/Originais anonimizados/TbDiarioFrequencia.csv;4;IdDiarioFrequencia | IdDiarioAula | IdAluno | StPresencaFalta
zip_csv;arquivos/Bases antigas/Base de dados - Passos Mágicos.zip;Base de dados - Passos Mágicos/TbFase/Merge/TbFaseNotaOrigemDestino.csv;4;IdFaseNotaOrigemDestino | IdPeriodo | IdSerieOrigem | IdSerieDestino
zip_csv;arquivos/Bases antigas/Base de dados - Passos Mágicos.zip;Base de dados - Passos Mágicos/TbFase/Merge/merged_data.csv;67;IdFaseNotaDisciplinaTurma | IdTurma_x | IdFaseNota | IdDisciplina_x | ConteudoProgramatico | IdPeriodo | IdSerie | NumeroFase | NomeFase | CabecBoletim | ImprimirBoletimNotaParcial | ImprimirBoletimNPNaoConfirmada | ImprimirBoletimNota | ImprimirBoletimFaltas | StFaseInformada | StCalcularDisciplinaComposta | IdFormulaComposicaoNota | IdFormulaNota | MediaMinimaAprovacao | ValorArredondamentoMedia | IdFormulaAprovacao | IdFormulaFalta | IdFaseNotaAprovacao | IdFaseNotaReprovacao | DataInicioExibicao | NumeroOrdemExibicao | NumeroSemanasLetivas | StCalcularSituacaoGeral | IdFormulaAprovacaoFrequencia | ValorNotaMaxima | DataInicialPeriodoAula | DataFinalPeriodoAula | StCalcDiscCompUtilizaFormulaFN | DataLimiteDigitacaoNota | NumeroDiasLetivos | StDispensarNotaAutomatica | TipoDispensaAutomatica | StConfirmarDispensaAutomatica | SituacaoReprovadoFrequencia | SituacaoAprovado | SituacaoReprovado | StFaseNotaSempreCalcular | TipoInformada | StPermiteProfessorImportarPadraoAvaliacao | StPermiteProfessorInserirEditarAvaliacao | StPermiteProfessorInserirBloco | IdDisciplina_y | IdTurma_y | IdAluno | Nota01 | Nota02 | Nota03 | Nota04 | Nota05 | Nota06 | Nota07 | Nota08 | Nota09 | Nota10 | IdFormulaComposicao | StNotaConfirmada | NotaFase | Faltas | QuantAulasDadas | _Nota01 | StNotaFaseExibirDisp | IdFaseNotaAluno
zip_csv;arquivos/Bases antigas/Base de dados - Passos Mágicos.zip;Base de dados - Passos Mágicos/TbFase/Originais anonimizados/TbFaseNota.csv;42;IdFaseNota | IdPeriodo | IdSerie | NumeroFase | NomeFase | CabecBoletim | ImprimirBoletimNotaParcial | ImprimirBoletimNPNaoConfirmada | ImprimirBoletimNota | ImprimirBoletimFaltas | StFaseInformada | StCalcularDisciplinaComposta | IdFormulaComposicaoNota | IdFormulaNota | MediaMinimaAprovacao | ValorArredondamentoMedia | IdFormulaAprovacao | IdFormulaFalta | IdFaseNotaAprovacao | IdFaseNotaReprovacao | DataInicioExibicao | NumeroOrdemExibicao | NumeroSemanasLetivas | StCalcularSituacaoGeral | IdFormulaAprovacaoFrequencia | ValorNotaMaxima | DataInicialPeriodoAula | DataFinalPeriodoAula | StCalcDiscCompUtilizaFormulaFN | DataLimiteDigitacaoNota | NumeroDiasLetivos | StDispensarNotaAutomatica | TipoDispensaAutomatica | StConfirmarDispensaAutomatica | SituacaoReprovadoFrequencia | SituacaoAprovado | SituacaoReprovado | StFaseNotaSempreCalcular | TipoInformada | StPermiteProfessorImportarPadraoAvaliacao | StPermiteProfessorInserirEditarAvaliacao | StPermiteProfessorInserirBloco
zip_csv;arquivos/Bases antigas/Base de dados - Passos Mágicos.zip;Base de dados - Passos Mágicos/TbFase/Originais anonimizados/TbFaseNotaAluno.csv;22;IdDisciplina | IdTurma | IdAluno | IdFaseNota | Nota01 | Nota02 | Nota03 | Nota04 | Nota05 | Nota06 | Nota07 | Nota08 | Nota09 | Nota10 | IdFormulaComposicao | StNotaConfirmada | NotaFase | Faltas | QuantAulasDadas | _Nota01 | StNotaFaseExibirDisp | IdFaseNotaAluno
zip_csv;arquivos/Bases antigas/Base de dados - Passos Mágicos.zip;Base de dados - Passos Mágicos/TbFase/Originais anonimizados/TbFaseNotaDisciplinaTurma.csv;5;IdFaseNotaDisciplinaTurma | IdTurma | IdFaseNota | IdDisciplina | ConteudoProgramatico
zip_csv;arquivos/Bases antigas/Base de dados - Passos Mágicos.zip;Base de dados - Passos Mágicos/TbFase/Originais anonimizados/TbFaseNotaOrigemDestino.csv;4;IdFaseNotaOrigemDestino | IdPeriodo | IdSerieOrigem | IdSerieDestino
zip_csv;arquivos/Bases antigas/Base de dados - Passos Mágicos.zip;Base de dados - Passos Mágicos/TbHistorico/Merge/merged_data.csv;36;IdAluno | CodigoSerie_x | AnoConclusao_x | IdDisciplina | StDependencia | Nota_ | NotaFinal | CargaHorariaAnual | QuantidadeFaltasAnual | ResultadoFinal_x | IdSerie_x | CargaHorariaAnualExibicao | StCHIgnorarSoma_x | IdHistoricoNotas | NovoEnsinoMedio_GrupoEstruturaCurricular | NovoEnsinoMedio_AreaConhecimento | CargaHorariaAnualHoraMinuto | CargaHorariaAnualHoraMinutoExibicao | StUsaCargaHorariaAnualHoraMinutoTexto | FaltasHoraMinuto | CargaHorariaAula | CodigoSerie_y | AnoConclusao_y | ResultadoFinal_y | IdEstabelecimentoEnsino | DiasLetivos | CargaHorariaTotal | Observacao | IdSerie_y | CargaHorariaTotalExibicao | StCHIgnorarSoma_y | FrequenciaTotal | CargaHorariaTotalHoraMinuto | CargaHorariaTotalHoraMinutoExibicao | StUsaCargaHorariaTotalHoraMinutoTexto | TotalFaltasTexto
zip_csv;arquivos/Bases antigas/Base de dados - Passos Mágicos.zip;Base de dados - Passos Mágicos/TbHistorico/Originais anonimizados/TbHistorico.csv;16;IdAluno | CodigoSerie | AnoConclusao | ResultadoFinal | IdEstabelecimentoEnsino | DiasLetivos | CargaHorariaTotal | Observacao | IdSerie | CargaHorariaTotalExibicao | StCHIgnorarSoma | FrequenciaTotal | CargaHorariaTotalHoraMinuto | CargaHorariaTotalHoraMinutoExibicao | StUsaCargaHorariaTotalHoraMinutoTexto | TotalFaltasTexto
zip_csv;arquivos/Bases antigas/Base de dados - Passos Mágicos.zip;Base de dados - Passos Mágicos/TbHistorico/Originais anonimizados/TbHistoricoNotas.csv;21;IdAluno | CodigoSerie | AnoConclusao | IdDisciplina | StDependencia | Nota_ | NotaFinal | CargaHorariaAnual | QuantidadeFaltasAnual | ResultadoFinal | IdSerie | CargaHorariaAnualExibicao | StCHIgnorarSoma | IdHistoricoNotas | NovoEnsinoMedio_GrupoEstruturaCurricular | NovoEnsinoMedio_AreaConhecimento | CargaHorariaAnualHoraMinuto | CargaHorariaAnualHoraMinutoExibicao | StUsaCargaHorariaAnualHoraMinutoTexto | FaltasHoraMinuto | CargaHorariaAula
zip_csv;arquivos/Bases antigas/Base de dados - Passos Mágicos.zip;Base de dados - Passos Mágicos/TbMeta/TbMeta.csv;7;IdMeta | Descricao | OrdemExibicao | StComum | IdDisciplina | IdFaseNota | IdTipoMeta
zip_csv;arquivos/Bases antigas/Base de dados - Passos Mágicos.zip;Base de dados - Passos Mágicos/TbMeta/TbMetaConceito.csv;7;CodigoConceito | Descricao | OrdemExibicao | CodigoResumido | IdPeriodo | IdSerie | IdMetaConceito
zip_csv;arquivos/Bases antigas/Base de dados - Passos Mágicos.zip;Base de dados - Passos Mágicos/TbMeta/TbMetaFaseNota.csv;11;IdFaseNota | NomeFase | OrdemExibicao | IdSerie | IdPeriodo | Temas | Conteudos | DataInicioExibicao | DataLimiteDigitacao | ComentarioMetaBoletim | TemaFaseNota
zip_csv;arquivos/Bases antigas/Base de dados - Passos Mágicos.zip;Base de dados - Passos Mágicos/TbMeta/TbMetaFaseNotaAluno.csv;8;IdAluno | IdTurma | IdMeta | _CodigoConceito | Aulas | Faltas | StConceitoConfirmado | IdMetaConceito
zip_csv;arquivos/Bases antigas/Base de dados - Passos Mágicos.zip;Base de dados - Passos Mágicos/TbMeta/TbMetaSituacaoAlunoDisciplina.csv;4;IdDisciplina | IdTurma | IdAluno | StDisciplinaDispensada
zip_csv;arquivos/Bases antigas/Base de dados - Passos Mágicos.zip;Base de dados - Passos Mágicos/TbMeta/TbTipoMeta.csv;2;IdTipoMeta | NomeTipoMeta
zip_csv;arquivos/Bases antigas/Base de dados - Passos Mágicos.zip;Base de dados - Passos Mágicos/TbProfessor/Merge/merged_data.csv;46;IdProfessorHorario | IdProfessor | IdPeriodo | Dia | Aula | NomeProfessor | IdUnidade | Sexo | DataNascimento | StAtivo | CorRaca | EstadoCivil | DataAdmissao | StDeficienciaCegueira | StDeficienciaBaixaVisao | StDeficienciaSurdez | StDeficienciaAuditiva | StDeficienciaFisica | StDeficienciaSurdoCegueira | StDeficienciaMultipla | StDeficienciaMental | StDocenteSubstituto | StAtuacao_EnsinoCursoSeq | StAtuacao_EnsinoCursoGradPresencial | StAtuacao_EnsinoCursoGradDistancia | StAtuacao_EnsinoPosGradPresencial | StAtuacao_EnsinoPosGradDistancia | StAtuacao_Pesquisa | StAtuacao_Extensao | StAtuacao_GestaoPlanejAvaliacao | StBolsaPesquisa | TipoNacionalidade | IdPaisOrigem | StDocenteVisitante | TpVinculoIES | Escolaridade | PosGraduacao | StDeficienciaAutismoInfantil | StDeficienciaSindromeAsperger | StDeficienciaSindromeRett | StDeficienciaTrastornoDesintegrativo | StDeficienciaAltasHabilidades | StGestorEscolarEducCenso | Cargo | DataInativacao | IdDisciplina
zip_csv;arquivos/Bases antigas/Base de dados - Passos Mágicos.zip;Base de dados - Passos Mágicos/TbProfessor/Originais anonimizados/TbProfessor.csv;41;IdProfessor | NomeProfessor | IdUnidade | Sexo | DataNascimento | StAtivo | CorRaca | EstadoCivil | DataAdmissao | StDeficienciaCegueira | StDeficienciaBaixaVisao | StDeficienciaSurdez | StDeficienciaAuditiva | StDeficienciaFisica | StDeficienciaSurdoCegueira | StDeficienciaMultipla | StDeficienciaMental | StDocenteSubstituto | StAtuacao_EnsinoCursoSeq | StAtuacao_EnsinoCursoGradPresencial | StAtuacao_EnsinoCursoGradDistancia | StAtuacao_EnsinoPosGradPresencial | StAtuacao_EnsinoPosGradDistancia | StAtuacao_Pesquisa | StAtuacao_Extensao | StAtuacao_GestaoPlanejAvaliacao | StBolsaPesquisa | TipoNacionalidade | IdPaisOrigem | StDocenteVisitante | TpVinculoIES | Escolaridade | PosGraduacao | StDeficienciaAutismoInfantil | StDeficienciaSindromeAsperger | StDeficienciaSindromeRett | StDeficienciaTrastornoDesintegrativo | StDeficienciaAltasHabilidades | StGestorEscolarEducCenso | Cargo | DataInativacao
zip_csv;arquivos/Bases antigas/Base de dados - Passos Mágicos.zip;Base de dados - Passos Mágicos/TbProfessor/Originais anonimizados/TbProfessorDisciplina.csv;2;IdProfessor | IdDisciplina
zip_csv;arquivos/Bases antigas/Base de dados - Passos Mágicos.zip;Base de dados - Passos Mágicos/TbProfessor/Originais anonimizados/TbProfessorHorario.csv;5;IdProfessorHorario | IdProfessor | IdPeriodo | Dia | Aula
zip_csv;arquivos/Bases antigas/Base de dados - Passos Mágicos.zip;Base de dados - Passos Mágicos/TbResponsavel/Originais anonimizados/TbResponsavel.csv;13;IdResponsavel | NomeResponsavel | IdUnidade | CodigoLeitora | DataNascimento | Sexo | TipoProrrogacaoEmDescontoPorAntecipacao | StFuncionario | EstadoCivil | NaturalidadeCidade | NaturalidadeUF | Nacionalidade | StFalecido
zip_csv;arquivos/Bases antigas/Base de dados - Passos Mágicos.zip;Base de dados - Passos Mágicos/TbResponsavel/Originais anonimizados/TbTipoResponsavel.csv;3;IdTipoResponsavel | TipoResponsavel | GrauParentesco
zip_csv;arquivos/Bases antigas/Base de dados - Passos Mágicos.zip;Base de dados - Passos Mágicos/TbResponsavel/Originais anonimizados/TbTipoVinculoAlunoResponsavel.csv;2;IdTipoVinculoAlunoResponsavel | NomeTipoVinculoAlunoResponsavel
zip_csv;arquivos/Bases antigas/Base de dados - Passos Mágicos.zip;Base de dados - Passos Mágicos/TbSerie/Merge/merged_data.csv;49;IdSerie | IdCurso | NomeSerie | IdProximaSerie | IdServicoMensalidade | QuantidadeDependencias | CodigoSerie | StPermiteMatriculaRepetida | TIAcodigo | StSerieDependencia | IdSituacaoAlunoTurmaCursando | IdSituacaoAlunoTurmaAprovado | IdSituacaoAlunoTurmaPParcial | IdSituacaoAlunoTurmaReprovado | StFreqPermitirSaidaSozinho | _StSerieComTurmasAlternativas | StSerieUtilizaAvaliacaoNota | StSerieUtilizaAvaliacaoRelatorio | StSerieUtilizaAvaliacaoMeta | Reserva_IdServico | Reserva_QtdeDiasValidade | StExibirDiarioModuloInternet | StExibirConteudoProgramaticoInternet | IdEstabelecimentoEnsino | StRecalculaMatriculaIdentificadoraEnturmacao | PrefixoMatricula | StPermiteAcessoPortalEducacional | StExibirSerieNotasModuloInternet | TipoSerieAlternativa | InscrTurma_QtdeDiasUteisSolicitacaoValida | IntegPortal_CodigoSerie | StModeloSistemaAvaliacao | StSerieUtilizaRotinaEducacaoInfantil | Educacenso_CodigoSerie | StIntegracaoAppComunicacao | StDisponivelModuloCaptacaoAlunos | IdFormularioRotinaEducacaoInfantil | ItFor_StDisponivelMatricular | ItFor_StDisponivelMatricularAlunoPortalWeb | ItFor_IdPeriodo | ItFor_QuantidadeMinimaDisciplinas | ItFor_QuantidadeMaximaDisciplinas | ItFor_IdSituacaoAlunoTurmaAposMatricula | ItFor_QuantidadeMinimaTrilhas | ItFor_QuantidadeMaximaTrilhas | StExibirTarefaAvaliacaoPortalWeb | StGerarHistoricoInfantil | NotaAlunoHistoricoInfantil | IdGrupo
zip_csv;arquivos/Bases antigas/Base de dados - Passos Mágicos.zip;Base de dados - Passos Mágicos/TbSerie/Originais anonimizados/TbSerie.csv;48;IdSerie | IdCurso | NomeSerie | IdProximaSerie | IdServicoMensalidade | QuantidadeDependencias | CodigoSerie | StPermiteMatriculaRepetida | TIAcodigo | StSerieDependencia | IdSituacaoAlunoTurmaCursando | IdSituacaoAlunoTurmaAprovado | IdSituacaoAlunoTurmaPParcial | IdSituacaoAlunoTurmaReprovado | StFreqPermitirSaidaSozinho | _StSerieComTurmasAlternativas | StSerieUtilizaAvaliacaoNota | StSerieUtilizaAvaliacaoRelatorio | StSerieUtilizaAvaliacaoMeta | Reserva_IdServico | Reserva_QtdeDiasValidade | StExibirDiarioModuloInternet | StExibirConteudoProgramaticoInternet | IdEstabelecimentoEnsino | StRecalculaMatriculaIdentificadoraEnturmacao | PrefixoMatricula | StPermiteAcessoPortalEducacional | StExibirSerieNotasModuloInternet | TipoSerieAlternativa | InscrTurma_QtdeDiasUteisSolicitacaoValida | IntegPortal_CodigoSerie | StModeloSistemaAvaliacao | StSerieUtilizaRotinaEducacaoInfantil | Educacenso_CodigoSerie | StIntegracaoAppComunicacao | StDisponivelModuloCaptacaoAlunos | IdFormularioRotinaEducacaoInfantil | ItFor_StDisponivelMatricular | ItFor_StDisponivelMatricularAlunoPortalWeb | ItFor_IdPeriodo | ItFor_QuantidadeMinimaDisciplinas | ItFor_QuantidadeMaximaDisciplinas | ItFor_IdSituacaoAlunoTurmaAposMatricula | ItFor_QuantidadeMinimaTrilhas | ItFor_QuantidadeMaximaTrilhas | StExibirTarefaAvaliacaoPortalWeb | StGerarHistoricoInfantil | NotaAlunoHistoricoInfantil
zip_csv;arquivos/Bases antigas/Base de dados - Passos Mágicos.zip;Base de dados - Passos Mágicos/TbSerie/Originais anonimizados/TbSerieGrupo.csv;2;IdSerie | IdGrupo
zip_csv;arquivos/Bases antigas/Base de dados - Passos Mágicos.zip;Base de dados - Passos Mágicos/TbSituacaoAlunoDisciplina/Originais anonimizados/TbSituacaoAlunoDisciplina.csv;21;IdDisciplina | IdTurma | IdAluno | IdFaseNotaAtual | SituacaoAtual | StDisciplinaDispensada | IdAlunoCurso | DataMatricula | IdUsuarioMatricula | DataTrancamento | IdUsuarioTrancamento | IdMotivoTrancamento | ComentarioTrancamento | IdSituacaoAlunoDisciplina | NotaFinal | Faltas | ProblemaAutorizadoMatricula | IdUsuarioAutorizacaoMatricula | JustificativaAutorizacaoMatricula | StGoogleEdu_Sincronizado | GoogleForEducation_LogProcessamento
zip_csv;arquivos/Bases antigas/Base de dados - Passos Mágicos.zip;Base de dados - Passos Mágicos/TbSituacaoAlunoDisciplina/Originais anonimizados/TbTipoSituacaoAlunoDisciplina.csv;4;TipoSituacaoAlunoDisciplina | Descricao | DominioSituacaoAlunoDisciplina | CodigoSituacaoMEC
zip_csv;arquivos/Bases antigas/Base de dados - Passos Mágicos.zip;Base de dados - Passos Mágicos/TbTurma/Merge/TbSituacaoAlunoTurma.csv;8;IdSituacaoAlunoTurma | SituacaoAlunoTurma | SituacaoSistema | SituacaoAcademica | StPermitirDigitacaoNotaFalta | StPermiteAssinaturaEletronica | CdSituacaoEducaCenso | DominioSituacaoAlunoTurma
zip_csv;arquivos/Bases antigas/Base de dados - Passos Mágicos.zip;Base de dados - Passos Mágicos/TbTurma/Merge/merged_data.csv;104;IdTurma | IdDisciplina_x | IdProfessor_x | IdSerie | IdPeriodo | TipoTurma | IdDisciplina_y | NomeTurma | SiglaTurma | TurnoPrincipal | TotalVagas | IdUsuarioCoordenador | CodigoAgrupamento | DisciplinaRequerNota | DisciplinaCargaHorariaSemanal | DisciplinaStUsaNotaConceito | IdServicoMensalidade | ES_IdCursoSuperiorPreferencial | DescricaoHorario | _DisciplinaConteudoProgramatico | SituacaoAlunoDisciplinaCursando | SituacaoAlunoDisciplinaAprovado | SituacaoAlunoDisciplinaReprovado | Reserva_IdServico | Reserva_QtdeDiasValidade | IdSala | DataInicial | DataFinal | DataNascimentoMinima | DataNascimentoMaxima | SexoTurma | StPermiteAcessoPortalEducacional | ProvaCHumanas_NotaMinima | ProvaCHumanas_Peso | ProvaCNatureza_NotaMinima | ProvaCNatureza_Peso | ProvaLinguagens_NotaMinima | ProvaLinguagens_Peso | ProvaMatematica_NotaMinima | ProvaMatematica_Peso | ProvaRedacao_NotaMinima | ProvaRedacao_Peso | FInscr_StExibirTurma | FInscr_IdSituacaoAlunoTurma | InscrTurma_StExibirTurma | IdFreqTipoHorario | InscrTurma_StVerificaTurmaRestricao | InscrTurma_ArrayIdTurmaRestricao | InscrTurma_ArrayIdSituacaoAlunoTurmaRestricao | IntegPortal_CodigoTurma | StDisponivelMatricula | DataMatriculaInicio | DataMatriculaFinal | IdTurno | IdEventoTipo | NumeroEtapa | StIntegracaoAppComunicacao | RMOnLine_IdTextoPersonalizado_Confirmacao | Evento_IdTextoPersonalizadoCertificado | Evento_DataRealizacao | IdModeloContrato | CdTurmaINEP | NovoEnsinoMedio_GrupoEstruturaCurricular | NovoEnsinoMedio_AreaConhecimento | NovoEnsinoMedio_TextoApresentacaoDisciplina | ItFor_StDisponivelMatricular | ItFor_NomeTrilha | StGerarHistorico | DisciplinaCargaHorariaAnual | QuantidadeAulasSemanais | DisciplinaCargaHoraMinutoDiaria | DisciplinaCargaHoraMinutoAnual | IdContrato_RMOnlineConfirmacao | DisciplinaCargaHorariaAula | ValorServicoModuloEducacao | IdDisciplina | IdProfessor_y | QtdeMaximaAluno | IdPlanoPagamento | Ementa | ObjGeral | ObjEspecificos | Bibliografia | BibliografiaComplementar | Metodologia | Recursos | FormaDeAvaliacao | ConteudoProgramatico | Competencias | AulasPraticas | DataHoraAlteracao | IdProfessorAlteracao | DataHoraConfirmacao | IdUsuarioConfirmacao | SituacaoPlanoEnsino | DataAula_Inicio | DataAula_Termino | CompetenciasHabilidades | ContribuicaoPerfil | EstrategiaAprendizagem | LeituraComplementar | ArticulacaoOutrasDisciplinas | StGoogleEdu_Sincronizado | GoogleForEducation_LogProcessamento
zip_csv;arquivos/Bases antigas/Base de dados - Passos Mágicos.zip;Base de dados - Passos Mágicos/TbTurma/Originais anonimizados/TbSituacaoAlunoTurma.csv;8;IdSituacaoAlunoTurma | SituacaoAlunoTurma | SituacaoSistema | SituacaoAcademica | StPermitirDigitacaoNotaFalta | StPermiteAssinaturaEletronica | CdSituacaoEducaCenso | DominioSituacaoAlunoTurma
zip_csv;arquivos/Bases antigas/Base de dados - Passos Mágicos.zip;Base de dados - Passos Mágicos/TbTurma/Originais anonimizados/TbTurma.csv;73;IdTurma | IdSerie | IdPeriodo | TipoTurma | IdDisciplina | NomeTurma | SiglaTurma | TurnoPrincipal | TotalVagas | IdUsuarioCoordenador | CodigoAgrupamento | DisciplinaRequerNota | DisciplinaCargaHorariaSemanal | DisciplinaStUsaNotaConceito | IdServicoMensalidade | ES_IdCursoSuperiorPreferencial | DescricaoHorario | _DisciplinaConteudoProgramatico | SituacaoAlunoDisciplinaCursando | SituacaoAlunoDisciplinaAprovado | SituacaoAlunoDisciplinaReprovado | Reserva_IdServico | Reserva_QtdeDiasValidade | IdSala | DataInicial | DataFinal | DataNascimentoMinima | DataNascimentoMaxima | SexoTurma | StPermiteAcessoPortalEducacional | ProvaCHumanas_NotaMinima | ProvaCHumanas_Peso | ProvaCNatureza_NotaMinima | ProvaCNatureza_Peso | ProvaLinguagens_NotaMinima | ProvaLinguagens_Peso | ProvaMatematica_NotaMinima | ProvaMatematica_Peso | ProvaRedacao_NotaMinima | ProvaRedacao_Peso | FInscr_StExibirTurma | FInscr_IdSituacaoAlunoTurma | InscrTurma_StExibirTurma | IdFreqTipoHorario | InscrTurma_StVerificaTurmaRestricao | InscrTurma_ArrayIdTurmaRestricao | InscrTurma_ArrayIdSituacaoAlunoTurmaRestricao | IntegPortal_CodigoTurma | StDisponivelMatricula | DataMatriculaInicio | DataMatriculaFinal | IdTurno | IdEventoTipo | NumeroEtapa | StIntegracaoAppComunicacao | RMOnLine_IdTextoPersonalizado_Confirmacao | Evento_IdTextoPersonalizadoCertificado | Evento_DataRealizacao | IdModeloContrato | CdTurmaINEP | NovoEnsinoMedio_GrupoEstruturaCurricular | NovoEnsinoMedio_AreaConhecimento | NovoEnsinoMedio_TextoApresentacaoDisciplina | ItFor_StDisponivelMatricular | ItFor_NomeTrilha | StGerarHistorico | DisciplinaCargaHorariaAnual | QuantidadeAulasSemanais | DisciplinaCargaHoraMinutoDiaria | DisciplinaCargaHoraMinutoAnual | IdContrato_RMOnlineConfirmacao | DisciplinaCargaHorariaAula | ValorServicoModuloEducacao
zip_csv;arquivos/Bases antigas/Base de dados - Passos Mágicos.zip;Base de dados - Passos Mágicos/TbTurma/Originais anonimizados/TbTurmaProfessor.csv;30;IdTurma | IdDisciplina | IdProfessor | QtdeMaximaAluno | IdPlanoPagamento | Ementa | ObjGeral | ObjEspecificos | Bibliografia | BibliografiaComplementar | Metodologia | Recursos | FormaDeAvaliacao | ConteudoProgramatico | Competencias | AulasPraticas | DataHoraAlteracao | IdProfessorAlteracao | DataHoraConfirmacao | IdUsuarioConfirmacao | SituacaoPlanoEnsino | DataAula_Inicio | DataAula_Termino | CompetenciasHabilidades | ContribuicaoPerfil | EstrategiaAprendizagem | LeituraComplementar | ArticulacaoOutrasDisciplinas | StGoogleEdu_Sincronizado | GoogleForEducation_LogProcessamento
zip_csv;arquivos/Bases antigas/Base de dados - Passos Mágicos.zip;Base de dados - Passos Mágicos/TbTurma/Originais anonimizados/TbTurmaProfessorSecundario.csv;3;IdTurma | IdDisciplina | IdProfessor
